ClassName,Diagnosis,Description,Treatment_Medication,Recommendation
Basal Cell Carcinoma,The most common type of skin cancer.,"BCC often appears as a slightly transparent bump on sun-exposed skin, like the head or neck. It might also look like a flat, flesh-colored or brown scar-like lesion, or a bleeding/scabbing sore that heals and then returns. It grows slowly and rarely spreads to other parts of the body.","Treatment is almost always surgical, including excision, Mohs surgery, or curettage and electrodesiccation. For superficial cases, topical creams like Imiquimod or Fluorouracil (5-FU) may be used.",This is a form of skin cancer. You must see a dermatologist immediately for diagnosis and treatment.
Darier_s Disease,"A rare, genetic skin disorder.","Also known as keratosis follicularis, it's characterized by persistent, wart-like blemishes on the skin. These blemishes can be yellowish, skin-colored, or brown, may be greasy or crusty, and can have a strong odor. It most commonly affects the chest, back, neck, and scalp.","There is no cure, but treatments aim to manage symptoms. Medicated moisturizers with lactic acid can help. A dermatologist may prescribe topical retinoids (like Tretinoin) or, in severe cases, oral retinoids (Acitretin or Isotretinoin).",See a dermatologist for a proper diagnosis and to create a long-term management plan.
Epidermolysis Bullosa Pruriginosa,"A rare, inherited connective tissue disease characterized by intense itching and blistering.","This condition causes severe, chronic itching (pruritus) that leads to scratching, which in turn causes blistering and thick, scar-like skin nodules (prurigo). It's a subtype of dystrophic epidermolysis bullosa.","Treatment is difficult and focuses on symptom control. This includes high-potency topical steroids, antihistamines to reduce itching, and wound care for blisters.",This is a complex condition that requires management by a specialized dermatologist.
Hailey-Hailey Disease,"A rare, inherited blistering disorder.","Also called familial benign pemphigus, it causes painful rashes and blisters in skin folds, such as the armpits, groin, and under the breasts. The skin can become raw, cracked, and infected.","There is no cure. Treatment aims to prevent flare-ups and infections. Topical corticosteroids and antibiotics (topical or oral) are the primary treatments. Botulinum toxin (Botox) injections can help reduce sweating, which often triggers flare-ups.",A dermatologist's care is essential for managing this chronic condition.
Herpes Simplex,A common viral infection caused by the Herpes Simplex Virus (HSV).,"It causes small, painful blisters or sores (""cold sores"" or ""fever blisters"") that typically appear on or around the mouth (HSV-1) or genitals (HSV-2). The virus is contagious and stays in the body for life, with outbreaks recurring periodically.","While there's no cure, prescription oral antiviral medications like Acyclovir, Valacyclovir, and Famciclovir are highly effective at shortening outbreak duration and reducing severity.",See a doctor or dermatologist for a confirmed diagnosis and to get a prescription for antiviral treatment.
Impetigo,A common and highly contagious bacterial skin infection.,"Most common in young children, impetigo presents as red sores that can burst, ooze fluid, and develop a yellowish-brown, honey-colored crust. It typically appears around the nose and mouth.","It's treated with topical antibiotics like Mupirocin ointment. For more widespread infections, oral antibiotics (like Amoxicillin or Cephalexin) are prescribed.",Consult a doctor to get the right antibiotic treatment and prevent it from spreading to others.
Larva Migrans,A parasitic skin infection caused by hookworm larvae.,"Known as cutaneous larva migrans or ""creeping eruption,"" it occurs when larvae from the feces of infected animals (like dogs and cats) penetrate human skin. It creates intensely itchy, raised, winding red tracks on the skin where the larva has burrowed.",The infection is typically treated with oral anti-parasitic drugs like Albendazole or Ivermectin. Topical anti-parasitic creams may also be used.,See a doctor or dermatologist for diagnosis and prescription medication.
Leprosy Borderline,"The most common form of leprosy, sitting on the spectrum between Tuberculoid and Lepromatous leprosy.","This form is unstable, showing features of both ends of the leprosy spectrum. Lesions are more numerous than in Tuberculoid leprosy and can vary in size and shape. Patients are prone to inflammatory episodes called 'reactions,' which can cause acute nerve damage.","Treatment is with Multi-Drug Therapy (MDT), typically a 12-month course of Rifampicin, Dapsone, and Clofazimine. Steroids are often required to manage reactions.",Requires immediate and close monitoring by a specialist to manage the disease and prevent permanent disability.
Leprosy Lepromatous,"A severe, multibacillary (high-bacteria) form of leprosy resulting from a poor cell-mediated immune response.","This form involves widespread, symmetrical skin lesions, nodules, plaques, and thickening of the skin. It can affect the face, causing a ""leonine"" (lion-like) appearance. Nerve damage is widespread but develops more slowly than in other forms.","Requires an intensive Multi-Drug Therapy (MDT) course, typically for 12 months or longer, using Rifampicin, Dapsone, and Clofazimine.","Immediate consultation with a doctor or infectious disease specialist is crucial to prevent severe, irreversible complications."
Leprosy Tuberculoid,A paucibacillary (low-bacteria) form of leprosy characterized by a strong cell-mediated immune response.,"This form typically presents with one or a few well-defined, numb, hairless skin patches. Nerve involvement happens early and can be severe but is usually limited to one or two nerves near the skin patch. It is less contagious than other forms.","Curable with a 6-month course of Multi-Drug Therapy (MDT), usually with Rifampicin and Dapsone.",Consult a specialist. Early diagnosis and treatment are key to preventing permanent nerve damage.
Lichen Planus,"An inflammatory condition that can affect the skin, hair, nails, and mucous membranes.","On the skin, it appears as purplish, itchy, flat-topped bumps. In the mouth, it can form lacy white patches. The exact cause is unknown but is thought to be related to an autoimmune response.","For mild cases, it may resolve on its own. For persistent or severe cases, topical corticosteroids are the first-line treatment. Antihistamines can help with itching.","See a dermatologist for a proper diagnosis and treatment plan, as it can be a long-lasting condition."
Lupus Erythematosus Chronicus Discoides,The most common type of chronic cutaneous (skin) lupus.,"An autoimmune disease that causes inflamed, scaly, coin-shaped sores and lesions, typically on areas exposed to the sun like the scalp, face, and ears. These lesions can cause permanent scarring and hair loss.","Treatment includes potent topical or injected corticosteroids, sun protection, and sometimes antimalarial drugs like Hydroxychloroquine.",This condition requires management by a dermatologist or rheumatologist to control symptoms and prevent scarring.
Melanoma,The most serious and aggressive type of skin cancer.,"Melanoma develops in the cells that produce melanin (pigment). It often resembles a mole, and some develop from existing moles. The ABCDEs are a guide for warning signs: Asymmetry, irregular Border, uneven Color, Diameter larger than 6mm, and Evolving or changing.","Treatment depends on the stage but almost always begins with wide surgical excision. For advanced melanoma, treatments may include immunotherapy, targeted therapy, and chemotherapy.","This is a potential medical emergency. If you suspect melanoma, see a dermatologist immediately. Early detection is critical and can be lifesaving."
Molluscum Contagiosum,A common and contagious viral skin infection.,"It causes small, raised, round, flesh-colored bumps on the skin. The bumps often have a tiny dimple or dot in the center. It's very common in children and spreads easily through direct contact or contaminated objects.","It usually resolves on its own within 6-12 months. However, a dermatologist can remove the bumps to prevent spread through cryotherapy (freezing), curettage (scraping), or by prescribing topical creams (like retinoids or Cantharidin).","See a dermatologist if the bumps are widespread, bothersome, or located on the face or genitals."
